Title,Artist,Date,Medium,Dimensions,URL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
WESTERN DUO,Gregory Masurovsky,1969,"10 lithographs, printed in black","page  30 x 22 1/4"" (76.2 x 56.5 cm)
Spectacles,Jean Dubuffet,1633,(French",,629.1966.1,Print,Drawings & Prints,1966-12-06,N,164077,,,
Use a Condom/ Bugs,James Victore,1997,Silkscreen,"28 5/8 x 20 1/4"" (72.7 x 51.4 cm)",http://www.moma.org/collection/works/120969,,,,72.7076454153,,,51.4351028702,,
"Visual Synthesis of the Idea: ""War""",Gino Severini,1914,Oil on canvas,"36 1/2 x 28 3/4"" (92.7 x 73 cm)",http://www.moma.org/collection/works/89538,,,,93.0277,,,73.1839,,
",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1400.2005,Drawing,Drawings & Prints,2005-05-10,Y,95654,http://www.moma.org/collection/works/95654,,,,,26.0350520701,,,43.1800863602,,
SAMUEL LOVER"," ESQ.""",(),1859,,94338,,,,,20.1,,,14.8,
Slovo Kak Takavoe (The Word as Such),"Kazimir Malevich, Olga Rozanova",1913,Illustrated book with two lithographs,"page (each): 9 1/8 x 7 3/8"" (23 x 18.8 cm)
Portrait of Geoge Brecht,Nam June Paik,4469,(American","20 15/16 × 5 7/8 × 1"" (53.2 × 15 × 2.5 cm)",3703.2008,Sculpture,Drawings & Prints,2008-10-08,Y,131565,http://www.moma.org/collection/works/131565,http://www.moma.org/media/W1siZiIsIjM4MjY5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e1359bc6de7eab03,
Untitled from 13 Woodcuts by Siqueiros (13 Grabados en madera por Siqueiros),David Alfaro Siqueiros,1931,One from a portfolio of fourteen woodcuts (including cover),"composition (irreg.): 5 1/16 × 3 1/2"" (12.9 × 8.9 cm); sheet: 9 5/16 × 6 7/8"" (23.6 × 17.5 cm)",http://www.moma.org/collection/works/88124,,,,12.8588,,,8.9,,
Archival envelope,Ben Kinmont,,Archival envelope,,,,,,,,,,,
"Salinas, California",Lee Friedlander,1972,Gelatin silver print,"10 1/8 × 6 3/4"" (25.7 × 17.1 cm)",http://www.moma.org/collection/works/53466,,,,25.7,,,17.1,,
"sheet  10 7/8 × 13 15/16"""" (27.7 × 35.4 cm)""",Gift of Nihon Keizai Shimbun,,,,
Flowering Desert,Hans Hofmann,1953,Oil on canvas,"23 3/4 x 27"" (60.5 x 68.6 cm)",http://www.moma.org/collection/works/79667,,,,60.5,,,68.6,,
The Yellow Star,Carl-Henning Pedersen,1952,Oil and pencil on canvas,"48 7/8 x 40 1/2"" (124 x 102.8 cm)",http://www.moma.org/collection/works/78395,,,,124.0,,,102.8,,
Parkett no. 35,Various Artists,1993,Oil on canvas;and Parkett 35 trade edition journal,,,,,,,,,,,
Art & Project Bulletin #149,Adam Colton,1988,"One from a set of 156 offset printed bulletins, exhibition copy","sheet (each): 11 5/8 x 16 9/16"" (29.6 x 42 cm)",,,,,29.6,,,42.0,,
chinese paper-japanese (japanischer kaffeechinese) from Containers,Dieter Roth,"1972, published 1973",Etching with Letraset additions,"plate: 11 9/16 x 9 3/4"" (29.3 x 24.8 cm); sheet (irreg.): 22 3/4 x 18 3/8"" (57.8 x 46.7 cm)",http://www.moma.org/collection/works/65593,,,,29.3,,,24.8,,
"THE SATYR AND THE PASSERBY (plate 57, 1st supplementary suite) from FABLES",Marc Chagall,1927-1952,"Etching and aquatint over photogravure, printed in black","plate  11 5/8 x 9 7/16"" (29.6 x 24 cm)",,,,,29.6,,,24.0,,
Reclining Chair without Arms (Elevation sketch with figure),Ludwig Mies van der Rohe,1926-46,Pencil on paper,"6 3/8 x 8 1/6"" (16.2 x 20.4 cm.)",http://www.moma.org/collection/works/106208,,,,16.1925,,,20.4788,,
Untitled from Kartinki-Voina russkikh s nemtsami (Russia's War with the Germans in Pictures),Unknown Artists,c. 1914,Lithograph with watercolor and gouache additions and lithographed manuscript text,"composition: 9 1/4 × 7 3/16"" (23.5 × 18.2 cm); sheet: 12 7/16 × 9 9/16"" (31.6 × 24.3 cm)",http://www.moma.org/collection/works/282579,,,,23.5,,,18.2,,
"Business card for Metro Pictures, Art Basel, Basel, Switzerland, June 16–21, 2015",Louise Lawler,2015,Offset card,"sheet: 2 3/16 × 3 3/8"" (5.6 × 8.6 cm)",http://www.moma.org/collection/works/206099,,,,5.6,,,8.6,,
Portrait of La Monte Young (page 1) from Fluxus 1,George Maciunas,"1961, assembled 1964",Offset on transparentized paper,"book: 7 9/16 x 8 1/4 x 1 3/16"" (19.2 x 21 x 3 cm)",,,3.0,,19.2,,,21.0,,
"Competition for Chairs and Tables, Festival of Misfits, ICA, London, October 23- November 8, 1962",Daniel Spoerri,1962,Gelatin silver print,"sheet: 10 × 8"" (25.4 × 20.3 cm)",,,,,25.4,,,20.3,,
Tailpiece (page 30) from AVENTURES PRODIGIEUSES DE TARTARIN DE TARASCON,Raoul Dufy,1931-1937,"Lithograph, printed in color","irreg. composition  3 1/4 x 6 7/8"" (8.2 x 17.4 cm)",,,,,8.2,,,17.4,,
15 Original Etchings Serigraphs,"Judith Rothschild, Sheri Martinelli, Frank K. Bacher, Various Artists",1946,"Portfolio of 10 screenprints and 5 etchings, with an additional screenprint variant",,http://www.moma.org/collection/works/62507,,,,,,,,,
"Mathew's house, Battle-Field of Bull Run",Alexander Gardner,March 1862,Albumen silver print,"7 × 9 1/16"" (17.8 × 23 cm)",http://www.moma.org/collection/works/83196,,,,17.8,,,23.0,,
The Mist (Le brouillard) from the portfolio Emptiness and Shadow (Le Vide et l'ombre) from Phenomena (Les Phénomènes),Jean Dubuffet,1958,One from a portfolio of eighteen lithographs,"composition: 14 9/16 x 11 7/8"" (37 x 30.2 cm); sheet: 25 x 17 11/16"" (63.5 x 45 cm)",http://www.moma.org/collection/works/86529,,,,37.0,,,30.2,,
Arazzi di dal Pozzo letterhead (Letter to Marinetti from dal Pozzo),Unknown Designer,1930s,Letterpress,"8 1/4 × 8 3/4"" (21 × 22.2 cm)",http://www.moma.org/collection/works/198545,,,,20.9550419101,,,22.2250444501,,
U.S.S.R.,Dan Weiner,1957,Gelatin silver print,"8 7/8 × 13 3/8"" (22.5 × 34 cm)
Cape Cod,Harry Callahan,924,(American","9 11/16 × 9 3/4"" (24.5 × 24.6 cm)",233.1977,Photograph,Photography,1977-06-09,Y,49273,http://www.moma.org/collection/works/49273,http://www.moma.org/media/W1siZiIsIjM3OTIiXSxbInAiLCJjb252ZXJ0IiwiLXJlc2l6ZSAzMDB4MzAwXHUwMDNlIl1d.jpg?sha=3a2e8431b3217e7e,
