Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ThumbnailURL,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
WESTERN DUO,Gregory Masurovsky,3825,"(American, 1929–2009)",(American),(1929),(2009),(Male),1969,"10 lithographs, printed in black","page  30 x 22 1/4"" (76.2 x 56.5 cm)
Spectacles,Jean Dubuffet,1633,"(French, 1901–1985)",(French),(1901),(1985),(Male),1961,Lithograph,,Gift of Mr. and Mrs. Ralph F. Colin,629.1966.1,Print,Drawings & Prints,1966-12-06,N,164077,,,,,,,,,,,
Use a Condom/ Bugs,James Victore,35811,"(American, born 1962)",(American),(1962),(0),(Male),1997,Silkscreen,"28 5/8 x 20 1/4"" (72.7 x 51.4 cm)",Gift of the designer,1802.2008,Design,Architecture & Design,2008-11-10,Y,120969,http://www.moma.org/collection/works/120969,http://www.moma.org/media/W1siZiIsIjE1OTA4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=65c1e018e8ad59b8,,,,72.7076454153,,,51.4351028702,,
"Visual Synthesis of the Idea: ""War""",Gino Severini,5360,"(Italian, 1883–1966)",(Italian),(1883),(1966),(Male),1914,Oil on canvas,"36 1/2 x 28 3/4"" (92.7 x 73 cm)",Bequest of Sylvia Slifka,24.2004,Painting,Painting & Sculpture,2004-03-09,Y,89538,http://www.moma.org/collection/works/89538,http://www.moma.org/media/W1siZiIsIjE1MTE2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=d05081b3c7669955,,,,93.0277,,,73.1839,,
",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,1400.2005,Drawing,Drawings & Prints,2005-05-10,Y,95654,http://www.moma.org/collection/works/95654,,,,,26.0350520701,,,43.1800863602,,
"SAMUEL LOVER, ESQ.",Maull and Polyblank,3850,(British),(British),(0),(0),(),1859,,"7 15/16 × 5 13/16"" (20.1 × 14.8 cm)",Purchase,305.1962.35,Photograph,Photography,1962-11-07,N,94338,,,,,,20.1,,,14.8,,
Slovo Kak Takavoe (The Word as Such),"Kazimir Malevich, Olga Rozanova","3710, 5066","(Russian, born Ukraine. 1878–1935) (Russian, 1886–1918)",(Russian) (Russian),(1878) (1886),(1935) (1918),(Male) (Female),1913,Illustrated book with two lithographs,"page (each): 9 1/8 x 7 3/8"" (23 x 18.8 cm)
Portrait of Geoge Brecht,Nam June Paik,4469,"(American, born Korea. 1932–2006)",(American),(1932),(2006),(Male),1973,Wood ladder with paint additions,"20 15/16 × 5 7/8 × 1"" (53.2 × 15 × 2.5 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,3703.2008,Sculpture,Drawings & Prints,2008-10-08,Y,131565,http://www.moma.org/collection/works/131565,http://www.moma.org/media/W1siZiIsIjM4MjY5MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=e1359bc6de7eab03,,,,53.2,15.0,,2.5,,
Untitled from 13 Woodcuts by Siqueiros (13 Grabados en madera por Siqueiros),David Alfaro Siqueiros,5454,"(Mexican, 1896–1974)",(Mexican),(1896),(1974),(Male),1931,One from a portfolio of fourteen woodcuts (including cover),"composition (irreg.): 5 1/16 × 3 1/2"" (12.9 × 8.9 cm); sheet: 9 5/16 × 6 7/8"" (23.6 × 17.5 cm)",Inter-American Fund,386.1956.13,Print,Drawings & Prints,1956-10-25,Y,88124,http://www.moma.org/collection/works/88124,http://www.moma.org/media/W1siZiIsIjE5MjQ3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=2ef272af902dd771,,,,12.8588,,,8.9,,
Archival envelope,Ben Kinmont,41829,"(American, born 1963)",(American),(1963),(0),(Male),,Archival envelope,,Fund for the Twenty-First Century,72.2013.382,Print,Drawings & Prints,2013-02-07,N,169443,,,,,,,,,,,
"Salinas, California",Lee Friedlander,2002,"(American, born 1934)",(American),(1934),(0),(Male),1972,Gelatin silver print,"10 1/8 × 6 3/4"" (25.7 × 17.1 cm)",Purchase,445.2000,Photograph,Photography,2000-10-12,Y,53466,http://www.moma.org/collection/works/53466,http://www.moma.org/media/W1siZiIsIjQ1ODI4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=6d74eb8a1030cece,,,,25.7,,,17.1,,
sheet  10 7/8 × 13 15/16"" (27.7 × 35.4 cm)",Gift of Nihon Keizai Shimbun,456.1959,Photograph,Photography,1959-04-22,N,53604,,,,,,24.1,,,35.4,,
Flowering Desert,Hans Hofmann,2698,"(American, born Germany. 1880–1966)",(American),(1880),(1966),(Male),1953,Oil on canvas,"23 3/4 x 27"" (60.5 x 68.6 cm)",Eve Clendenin Bequest,422.1974,Painting,Painting & Sculpture,1974-10-08,Y,79667,http://www.moma.org/collection/works/79667,http://www.moma.org/media/W1siZiIsIjE2MjEzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f87def8286dd4add,,,,60.5,,,68.6,,
The Yellow Star,Carl-Henning Pedersen,4535,"(Danish, 1913–1993)",(Danish),(1913),(1993),(Male),1952,Oil and pencil on canvas,"48 7/8 x 40 1/2"" (124 x 102.8 cm)",Gift of G. David Thompson,8.1961,Painting,Painting & Sculpture,1961-01-10,Y,78395,http://www.moma.org/collection/works/78395,,,,,124.0,,,102.8,,
